title,category,secondary_category,source,rule_id,confidence,original_category,needs_review,review_notes,notes,is_health,uc_cto,uc_cto_name,uc_academic_group,family,level,successor_title,next_title,n_all,n_2025,n_2020,n_2010,first_year,last_year,avg_gross_all,avg_gross_2025
SPEECH PATHOLOGIST SR SUPV EX,Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,REHAB SVC SUPV,2,REHAB SVC SUPV 2,,21,0,2,0,2013,2020,110332.0,
"STOREKEEPER, SR-SUPVR",Staff - Professional & Supervisory,"Facilities, Trades, Grounds & Logistics",claude,P-SUPV,high,,,,,N,,,,STOREKEEPER SR SUPV,1,STOREKEEPER SR SUPV,,21,0,0,10,2010,2011,42426.0,
STUDENT ACADEMIC SPECIALIST 2,Staff - Professional & Supervisory,Student Services,claude,P-ROLE,high,,,,,N,,,,STDT ACAD SPEC,2,STDT ACAD SPEC 2,,21,0,0,7,2010,2011,19127.0,
STUDENT SERVICES SUPERVISOR 2,Staff - Professional & Supervisory,Student Services,claude,P-SUPV,high,,,,,N,,,,STDT SVC SUPV,2,STDT SVC SUPV 2,,21,0,0,13,2010,2011,58577.0,
SUPPLY CHAIN MGR 2,Staff - Management,"Finance, HR, Purchasing & Business Services",claude,M-ROLE,high,,,,,N,,,,SUPPLY CHAIN MGR,2,,,21,6,1,0,2020,2025,210763.0,233439.0
SYS INTEGRATION ENGR 1,Staff - Professional & Supervisory,Information Technology,claude,P-ROLE,high,,,,,N,,,,SYS INTEGRATION ENGR,1,,SYS INTEGRATION ENGR 2,21,1,1,0,2016,2025,26255.0,18802.0
SYSTEMS PROGRAMMER IV,Staff - Professional & Supervisory,Information Technology,claude,P-ROLE,high,,,,,N,,,,SYS PROGR,4,SYS PROGR 4,,21,0,0,9,2010,2011,77032.0,
"TECH,STERILE PROCESSING I,PD",Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,STERILE PROCESSING TCHN,1,STERILE PROCESSING TCHN 1 PD,,21,0,0,10,2010,2011,18307.0,
"TECHNICIAN, TELEVISION, PRIN",Staff - Support & Operations,"Administration, Analysis & Clerical",claude,O-ROLE,high,,,,,N,,,,TELEVISION TCHN,3,TELEVISION TCHN PRN,,21,0,0,10,2010,2011,61478.0,
"TECHNOLOGIST, EEG",Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,EEG TCHNO,1,EEG TCHNO,,21,0,0,11,2010,2011,49502.0,
TECHNOLOGY TRANSFER OFFICER I,Staff - Professional & Supervisory,Information Technology,claude,P-ROLE,high,,,,,N,,,,TECHNOLOGY TRANSFER OFCR,1,TECHNOLOGY TRANSFER OFCR 1,,21,0,0,10,2010,2011,82361.0,
"ABSTRACTOR, PATIENT RECORD I",Health Care (Med Center & Clinical),"Health Administration, Billing & Records",claude,H02,high,,,,,Y,,,,PATIENT RCDS ABSTRACTOR,1,PATIENT RCDS ABSTRACTOR 1,,20,0,0,10,2010,2011,47839.0,
ACAD ACHIEVEMENT CNSLR 4 SV,Staff - Professional & Supervisory,Student Services,claude,P-ROLE,high,,,,,N,,,,ACAD ACHIEVEMENT CNSLR,4,,,20,20,0,0,2025,2025,99156.0,99156.0
ACAD PERSONNEL ANL 5,Staff - Professional & Supervisory,"Finance, HR, Purchasing & Business Services",claude,P-ROLE,high,,,,,N,,,,ACAD PERSONNEL ANL,5,,,20,17,0,0,2024,2025,151210.0,161337.0
ACADEMIC ACHIEVEMT COUNSELOR 4,Staff - Professional & Supervisory,Student Services,claude,P-ROLE,high,,,,,N,,,,ACAD ACHIEVEMENT CNSLR,4,ACAD ACHIEVEMENT CNSLR 4,,20,0,0,9,2010,2011,60368.0,
ACCOUNTING MGR 1 HC,Health Care (Med Center & Clinical),"Health Administration, Billing & Records",claude,H02,high,,,,,Y,,,,ACCOUNTING MGR,1,,,20,9,0,0,2023,2025,188996.0,196700.0
"ARCHITECT, ASSOC",Staff - Professional & Supervisory,"Facilities, Trades, Grounds & Logistics",claude,P-ROLE,high,,,,,N,,,,ARCHITECTURAL ASC,1,ARCHITECTURAL ASC EX,,20,0,0,10,2010,2011,78367.0,
ASSOC SPECIALIST NON REP,Academic Research,Specialist (research series),claude,X-VARIANT,high,Research,,,variant of 'ASSOC SPECIALIST' (R04),N,,,,SPECIALIST,2,,,20,1,7,0,2019,2025,76201.0,72408.0
"ATTENDANT, AUTOMOTIVE",Staff - Support & Operations,"Facilities, Trades, Grounds & Logistics",claude,O-ROLE,high,,,,,N,,,,AUTO ATTENDANT,1,AUTO ATTENDANT,,20,0,0,12,2010,2011,28135.0,
AUDIOLOGIST PD,Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,Med Center,,,,Y,,,,AUDIOLOGIST,1,,,20,3,1,0,2012,2025,32150.0,30068.0
"BAKER, ASST",Staff - Support & Operations,"Custodial, Food, Housing & Hospitality",claude,O-ROLE,high,,,,,N,,,,BAKER,0,BAKER AST,,20,0,0,10,2010,2011,19956.0,
"BAKER, SR",Staff - Support & Operations,"Custodial, Food, Housing & Hospitality",claude,O-ROLE,high,,,,,N,,,,BAKER,2,BAKER SR,,20,0,0,10,2010,2011,34744.0,
"BLDG MAINTENANCE WRKR, SR, MC",Health Care (Med Center & Clinical),Hospital Support & Patient Services,claude,H02,high,,,,,Y,,,,MED CTR BLDG MAINT WORKER,2,MED CTR BLDG MAINT WORKER SR,,20,0,0,10,2010,2011,45676.0,
BUS DEV HC MGR 4,Health Care (Med Center & Clinical),"Health Administration, Billing & Records",claude,H02,high,Staff,,,,Y,,,,BUS DEV HC MGR,4,,,20,5,2,0,2017,2025,401765.0,314406.0
BUSINESS/TECH SUPPORT SUPR 1,Staff - Professional & Supervisory,"Finance, HR, Purchasing & Business Services",claude,P-SUPV,high,,,,,N,,,,BUS TCHL SUPP SUPV,1,BUS TCHL SUPP SUPV 1,,20,0,0,11,2010,2011,55656.0,
BUSINESS/TECH SUPPORT SUPR 2,Staff - Professional & Supervisory,"Finance, HR, Purchasing & Business Services",claude,P-SUPV,high,,,,,N,,,,BUS TCHL SUPP SUPV,2,BUS TCHL SUPP SUPV 2,,20,0,0,10,2010,2011,77109.0,
CARPENTER SPEC,Staff - Professional & Supervisory,"Facilities, Trades, Grounds & Logistics",claude,P-ROLE,high,,,,,N,,,,CARPENTER SPEC,1,,,20,6,2,0,2020,2025,110789.0,124681.0
CHIEF OF POLICE,Staff - Management,"Police, Security & Safety",claude,M05,medium,,,,Chief officer below SMG level,N,,,,POLICE CHF,1,POLICE CHF,,20,0,0,10,2010,2011,148494.0,
CLIN DOC MGR 2,Health Care (Med Center & Clinical),"Health Administration, Billing & Records",claude,H02,high,Med Center,,,,Y,,,,CLIN DOC MGR,2,,,20,4,3,0,2018,2025,251619.0,265672.0
CLIN IMG IT SUPV 2,Health Care (Med Center & Clinical),"Health Administration, Billing & Records",claude,H02,high,Med Center,,,,Y,,,,CLIN IMG IT SUPV,2,,,20,2,1,0,2016,2025,119421.0,158672.0
CLIN NURSE EDUC 3 GF,Health Care (Med Center & Clinical),Nursing,claude,H02,high,Med Center,,,,Y,,,,CLIN NURSE EDUC,3,,,20,0,3,0,2017,2024,138490.0,
COMM & NETWORK TECH ANALYST 3,Staff - Professional & Supervisory,Information Technology,claude,P-ROLE,high,,,,,N,,,,COMM AND NETWORK TCHL ANL,3,COMM AND NETWORK TCHL ANL 3,,20,0,0,10,2010,2011,64417.0,
COMP EXAM SPEC,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,,,,,N,,,,COMP EXAM SPEC,1,,,20,0,0,0,2018,2019,2783.0,
COMPUTER RES SPEC II - UCOP,Staff - Professional & Supervisory,Information Technology,claude,P-ROLE,high,,,,,N,,,,COMPUTER RESC SPEC 2 UCOP,1,COMPUTER RESC SPEC 2 UCOP,,20,0,0,10,2010,2011,48074.0,
CONSTRUCTION PROJECT MANAGER,Staff - Management,"Facilities, Trades, Grounds & Logistics",claude,M-ROLE,high,,,,,N,,,,CONST PROJECT MGR,1,CONST PROJECT MGR,,20,0,0,9,2010,2011,68248.0,
"DATA PROC PROD COORDINATO,PRIN",Staff - Support & Operations,"Administration, Analysis & Clerical",claude,O-ROLE,medium,,,,,N,,,,DATA PROC PROD CRD,3,DATA PROC PROD CRD PRN,,20,0,0,8,2010,2011,32749.0,
DESIGN AND CONST MGR 3,Staff - Management,"Facilities, Trades, Grounds & Logistics",claude,M-ROLE,high,,,,,N,,,,DESIGN AND CONST MGR,3,,,20,1,2,0,2013,2025,147838.0,212063.0
ENGR CHF SR,Staff - Management,"Facilities, Trades, Grounds & Logistics",claude,X-SUCCESSOR,medium,,,,inherited from successor title 'CHF ENGR MGR 1' (M05),N,,,,CHF ENGR MGR,1,CHF ENGR MGR 1,,20,0,0,0,2012,2016,92252.0,
EXEC ADVISOR MGR 4,Staff - Management,"Administration, Analysis & Clerical",claude,M03,high,Admin Staff,,,Chief-of-staff style manager,N,,,,EXEC ADVISOR MGR,4,,,20,0,1,0,2013,2023,252046.0,
FAC PROJECT SUPV 2 HC,Health Care (Med Center & Clinical),"Health Administration, Billing & Records",claude,H02,high,,,,,Y,,,,FAC PROJECT SUPV,2,,,20,5,0,0,2022,2025,142278.0,152783.0
FAC REQUIREMENTS ANL SR,Staff - Professional & Supervisory,"Facilities, Trades, Grounds & Logistics",claude,P-ROLE,high,,,,,N,,,,FAC REQUIREMENTS ANL,2,,,20,0,0,0,2012,2018,59386.0,
FACULTY ASST TO VICE CHANC,Academic Administration,Faculty / Academic Assistant to executive,claude,A07,high,,,,,N,928,MISCELLANEOUS TITLES-SINGLE TITLES,Other Academic Employees,PROF-AY,3,PROF-AY,,20,0,0,0,2012,2018,196836.0,
FOOD SERVICES SUPERVISOR 2,Staff - Professional & Supervisory,"Custodial, Food, Housing & Hospitality",claude,P-SUPV,high,,,,,N,,,,FOOD SVC SUPV,2,FOOD SVC SUPV 2,,20,0,0,8,2010,2011,44622.0,
FUNDRAISING MGR 5,Staff - Management,"Development, Communications & Events",claude,M-ROLE,high,,,,,N,,,,FUNDRAISING MGR,5,,,20,0,0,0,2012,2016,192726.0,
HOSP MED TRANSCRIBER SR PD,Health Care (Med Center & Clinical),Hospital Support & Patient Services,claude,H02,high,,,,,Y,,,,HOSP MED TRANSCRIBER,2,,,20,2,1,0,2012,2025,20000.0,4325.0
ILLUSTRATOR,Staff - Professional & Supervisory,General / Unclassified staff,claude,P-ROLE,low,,,,,N,,,,ILLUSTRATOR,1,,,20,0,0,4,2010,2019,11900.0,
INFORMATION SYSTEMS MANAGER 3,Staff - Management,General / Unclassified staff,claude,M-ROLE,low,,,,,N,,,,INFO SYS MGR,3,INFO SYS MGR 3,,20,0,0,10,2010,2011,146845.0,
INTELLECTUAL PROPERTY MGR 3,Staff - Management,"Administration, Analysis & Clerical",claude,M-ROLE,high,,,,,N,,,,IP MGR,3,IP MGR 3,,20,0,0,1,2010,2017,185362.0,
IP SUPV 2,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-SUPV,high,,,,,N,,,,IP SUPV,2,,,20,2,1,0,2019,2025,144135.0,168566.0
LIBRARIAN-TEMP STATUS,Other Academic,Librarian,claude,A01,high,,,,,N,,,,LIBRARIAN-TEMP STATUS,3,,,20,1,0,0,2012,2025,66495.0,53260.0
LIBRARY MGR 2,Staff - Management,Library & Museum Staff,claude,M-ROLE,high,,,,,N,,,,LIBRARY MGR,2,,,20,4,1,0,2020,2025,128763.0,143754.0
LINEN SVC HEAD WORKER,Staff - Professional & Supervisory,"Custodial, Food, Housing & Hospitality",claude,P-ROLE,high,,,,,N,,,,LINEN SVC HEAD WORKER,1,,,20,4,0,0,2012,2025,66958.0,87486.0
MARINE COOK 2 PD,Staff - Support & Operations,Research Support (staff),claude,O-ROLE,high,,,,,N,,,,MARINE COOK,2,,,20,8,0,0,2023,2025,11440.0,9973.0
MED CTR BLDG MAINT WORKER,Health Care (Med Center & Clinical),Hospital Support & Patient Services,claude,H02,high,Med Center,,,,Y,,,,MED CTR BLDG MAINT WORKER,1,,,20,2,1,0,2012,2025,45120.0,33338.0
MEDIA COMM MGR 3,Staff - Management,"Development, Communications & Events",claude,M-ROLE,high,,,,,N,,,,MEDIA COMM MGR,3,,,20,1,1,0,2013,2025,168984.0,255539.0
MEDIA COMM SUPV 2,Staff - Professional & Supervisory,"Development, Communications & Events",claude,P-SUPV,high,,,,,N,,,,MEDIA COMM SUPV,2,,,20,4,1,0,2020,2025,108779.0,119696.0
MGD CARE SPEC 3 GF,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,,,,,N,,,,MGD CARE SPEC,3,,,20,4,0,0,2022,2025,148754.0,179102.0
MUSEUM SCI PRN SUPV,Staff - Professional & Supervisory,Library & Museum Staff,claude,P-ROLE,high,,,,,N,,,,MUSEUM SCI PRN SUPV,1,,,20,0,0,0,2012,2017,69262.0,
NUC MED MGR 1,Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,Med Center,,,,Y,,,,NUC MED MGR,1,,,20,3,2,0,2017,2025,200842.0,243045.0
"PAINTER, LEAD",Staff - Support & Operations,"Facilities, Trades, Grounds & Logistics",claude,O-ROLE,high,,,,,N,,,,PAINTER,3,PAINTER LD,,20,0,0,10,2010,2011,60495.0,
PAYROLL SUPV 2 GF,Staff - Professional & Supervisory,"Finance, HR, Purchasing & Business Services",claude,P-SUPV,high,,,,,N,,,,PAYROLL SUPV,2,,,20,3,1,0,2017,2025,123586.0,146965.0
PHARMACY TECHNICIAN III PD,Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,PHARMACY TCHN,3,PHARMACY TCHN 3 PD,,20,0,0,10,2010,2011,11158.0,
PHYSCN 4,Health Care (Med Center & Clinical),Physician / Advanced Practice Provider (staff),claude,H02,high,,,,,Y,,,,STDT HEALTH PHYSCN,4,STDT HEALTH PHYSCN 4,,20,0,0,0,2012,2014,147592.0,
PLUMBER 2,Staff - Support & Operations,"Facilities, Trades, Grounds & Logistics",claude,O-ROLE,high,,,,,N,,,,PLUMBER,2,,,20,0,2,0,2012,2022,72375.0,
PRE-SIX YR APPT-TEMP SUPP-FY,Lecturers (Unit 18),Lecturer (Pre-Six),claude,L06,high,,,,Temporary augmentation title in the lecturer series,N,225,LECTURER,Faculty - Lecturers,LECT,1,,,20,9,0,0,2023,2025,31940.0,22632.0
PRIVATE EQUITY MGR 3,Staff - Management,"Administration, Analysis & Clerical",claude,M-ROLE,high,,,,,N,,,,PRIVATE EQUITY MGR,3,,,20,2,2,0,2013,2025,454966.0,367826.0
PROCUREMENT MGR 3,Staff - Management,"Finance, HR, Purchasing & Business Services",claude,M-ROLE,high,,,,,N,,,,PROCUREMENT MGR,3,,,20,2,1,0,2014,2025,179237.0,228245.0
RECR THER 1 EX,Health Care (Med Center & Clinical),Hospital Support & Patient Services,claude,H02,high,,,,,Y,,,,RECR THER,1,,,20,5,1,0,2016,2025,66122.0,80459.0
REHAB SVC SPEC 1,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,Staff,,,,N,,,,REHAB SVC SPEC,1,,,20,0,4,0,2017,2024,26267.0,
REIMB HC MGR 3,Health Care (Med Center & Clinical),"Health Administration, Billing & Records",claude,H02,high,,,,,Y,,,,REIMB HC MGR,3,,,20,6,1,0,2017,2025,313246.0,297778.0
RESIDENTIAL SERVICE MECHANIC,Staff - Support & Operations,"Facilities, Trades, Grounds & Logistics",claude,O-ROLE,high,,,,,N,,,,RESIDENTIAL SVC MECH,3,RESIDENTIAL SVC MECH,,20,0,0,10,2010,2011,59902.0,
RES___-AY-1/9-BUS/ECON/ENG,Academic Research,Professional Researcher,claude,R03,high,,,,Professional Research series (CTO 541-543),N,,,,RES___-AY-1/9-BUS/ECON/ENG,3,,,20,0,0,12,2010,2011,35345.0,
RET CUSTOMER SVC REPR 3,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,,,,,N,,,,RET CUSTOMER SVC REPR,3,,,20,8,0,0,2023,2025,70454.0,88122.0
RSCH ADM 5 RP,Staff - Professional & Supervisory,Research Support (staff),claude,P-ROLE,high,,,,,N,,,,RSCH ADM,5,,,20,20,0,0,2025,2025,132179.0,132179.0
SENIOR RECORDS TECHNICIAN,Staff - Support & Operations,"Administration, Analysis & Clerical",claude,O-ROLE,high,,,,,N,,,,SENIOR RECORDS TECHNICIAN,1,,,20,3,2,0,2020,2025,42383.0,59349.0
SR ADMIN ANALYST,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,,,,,N,,,,SR ADMIN ANALYST,1,,,20,0,0,0,2018,2019,63457.0,
SR LECT W/SEC-AY-RECALL-1/9TH,Senate Faculty,Recall (retired faculty),claude,F03,high,,,,,N,212,LECTURER-SECURITY OF EMPLOYMENT-RECALL,Other Academic Employees,SR LECT W/SEC-AY-RECALL-1/9TH,1,,,20,0,0,3,2010,2015,21191.0,
STDT ACAD SPEC 4 SV,Staff - Professional & Supervisory,Student Services,claude,P-ROLE,high,,,,,N,,,,STDT ACAD SPEC,4,,,20,20,0,0,2025,2025,105748.0,105748.0
STUDENT ACADEMIC SPECIALIST 3,Staff - Professional & Supervisory,Student Services,claude,P-ROLE,high,,,,,N,,,,STDT ACAD SPEC,3,STDT ACAD SPEC 3,,20,0,0,8,2010,2011,38115.0,
STUDENT LIFE & DEVT SPEC 4,Staff - Professional & Supervisory,Student Services,claude,P-ROLE,high,,,,,N,,,,STDT LIFE DEV SPEC,4,STDT LIFE DEV SPEC 4,,20,0,0,8,2010,2011,59130.0,
SUPV 2,Health Care (Med Center & Clinical),"Health Administration, Billing & Records",claude,X-SUCCESSOR,medium,,,,inherited from successor title 'CARE SUPV 2' (H02),Y,,,,CARE SUPV,2,CARE SUPV 2,,20,0,0,0,2013,2015,55550.0,
SURVEY RESEARCHER 4,Staff - Support & Operations,Research Support (staff),claude,O-ROLE,medium,Research Staff,,,,N,,,,SURVEY RESEARCHER,4,,,20,1,3,0,2017,2025,59586.0,0.0
TAX CMPLNC MGR 2,Staff - Management,Legal & Compliance,claude,M-ROLE,high,,,,,N,,,,TAX CMPLNC MGR,2,,,20,0,2,0,2015,2024,138204.0,
"TECHNO III, COMP & NETWORK-SUP",Staff - Professional & Supervisory,Information Technology,claude,P-SUPV,high,,,,,N,,,,COMPUTER NETWORK TCHNO SUPV,3,COMPUTER NETWORK TCHNO 3 SUPV,,20,0,0,11,2010,2011,71582.0,
TREASURY MGR 2,Staff - Management,"Finance, HR, Purchasing & Business Services",claude,M-ROLE,high,,,,,N,,,,TREASURY MGR,2,,,20,2,1,0,2013,2025,195471.0,263994.0
TREE TRIM LD,Staff - Support & Operations,"Facilities, Trades, Grounds & Logistics",claude,O-ROLE,medium,,,,,N,,,,TREE TRIM,3,,,20,3,2,0,2016,2025,64285.0,67994.0
VIS PROJ SCIENTIST NEX,Academic Research,Project Scientist,claude,R02,high,Research,,,,N,,,,VIS PROJ SCIENTIST,3,,,20,2,3,0,2016,2025,12984.0,16864.0
VISITING PROFESSOR-HCOMP,Non-Senate Faculty,Visiting Professor,claude,F09,high,,,,,Y,,,,HS CLIN PROF-HCOMP,3,HS CLIN PROF-HCOMP,,20,0,0,8,2010,2011,148437.0,
WIPER OPR 1 PD,Staff - Support & Operations,Research Support (staff),claude,O-ROLE,high,,,,,N,,,,WIPER OPR,1,,,20,5,0,0,2022,2025,18530.0,21032.0
ADMIN SPECIALIST,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,,,,,N,,,,ADMIN SPECIALIST,1,,,19,0,0,0,2018,2019,34943.0,
ANESTHESIA TECHNICIAN II PD,Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,ANESTHESIA TCHN,2,ANESTHESIA TCHN 2 PD,,19,0,0,10,2010,2011,30466.0,
ANESTHESIA TECHNICIAN III,Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,ANESTHESIA TCHN,3,ANESTHESIA TCHN 3,,19,0,0,9,2010,2011,65777.0,
ASSOC ADM/COORD/OFC (FTL AREA),Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,,,,,N,,,,ADM CRD OFCR ASC,1,ADM CRD OFCR ASC,,19,0,0,9,2010,2011,100299.0,
ASSOC DEV ENG - SUPERVISOR,Staff - Professional & Supervisory,General / Unclassified staff,claude,P-ROLE,low,,,,,N,,,,DEV ENGR ASC SUPV,1,DEV ENGR ASC SUPV,,19,0,0,10,2010,2011,66371.0,
ASSOCIATE DENTIST,Health Care (Med Center & Clinical),Physician / Advanced Practice Provider (staff),claude,H02,high,,,,,Y,,,,DENTIST ASC,1,DENTIST ASC,,19,0,0,8,2010,2011,42857.0,
ASST MGR (FUNCTIONAL AREA),Staff - Management,Management (generic title),claude,X-SUCCESSOR,medium,,,,inherited from successor title 'MGR AST' (M06),N,,,,MGR,0,MGR AST,,19,0,0,11,2010,2011,77944.0,
BOATSWAIN,Staff - Support & Operations,Research Support (staff),claude,O-ROLE,high,,,,,N,,,,BOATSWAIN,1,,,19,0,0,2,2010,2016,62120.0,
CARE HOSP SUPV 1 VMTH,Health Care (Med Center & Clinical),"Health Administration, Billing & Records",claude,H02,high,,,,,Y,,,,CARE HOSP SUPV 1 VMTH,1,,,19,19,0,0,2025,2025,90502.0,90502.0
CHARGE DESC ANL 3,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,,,,,N,,,,CHARGE DESC ANL,3,,,19,3,2,0,2017,2025,81924.0,94786.0
CLIN REGIS MGR 1,Health Care (Med Center & Clinical),"Health Administration, Billing & Records",claude,H02,high,Med Center,,,,Y,,,,CLIN REGIS MGR,1,,,19,1,2,0,2017,2025,154321.0,179509.0
COORD OF PUBLIC PROGRAMS IV,Other Academic,Miscellaneous academic title,claude,X-SUCCESSOR,medium,,,,inherited from successor title 'COORD PUBLIC PROG IV' (A08),N,,,,COORD PUBLIC PROG,4,COORD PUBLIC PROG IV,,19,0,0,9,2010,2011,48947.0,
CURATOR 4 RP,Staff - Professional & Supervisory,Library & Museum Staff,claude,A07b,high,,,,"Career Tracks curatorial staff, not the academic curator series",N,,,,CURATOR,4,,,19,19,0,0,2025,2025,92489.0,92489.0
CUSTODIAN SR SUPV NEX,Staff - Professional & Supervisory,"Custodial, Food, Housing & Hospitality",claude,P-SUPV,high,,,,,N,,,,CUSTODIAL SUPV,1,CUSTODIAL SUPV 1,,19,0,4,0,2016,2020,48673.0,
DATA SYSTEMS ANALYST 4,Staff - Professional & Supervisory,Information Technology,claude,P-ROLE,high,,,,,N,,,,DATA SYS ANL,4,DATA SYS ANL 4,,19,0,0,7,2010,2011,66527.0,
DECISION SUPP SPEC 3 GF,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,,,,,N,,,,DECISION SUPP SPEC,3,,DECISION SUPP SPEC 4,19,4,1,0,2017,2025,133044.0,157494.0
"DENTAL ASST, REG--EXT. FUNC.",Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,REG DENTAL AST EXTD FUNC,1,REG DENTAL AST EXTD FUNC,,19,0,0,9,2010,2011,48052.0,
DESIGN CONST PROJECT MGR 2,Staff - Management,"Facilities, Trades, Grounds & Logistics",claude,M-ROLE,high,,,,,N,,,,DESIGN CONST PROJECT MGR,2,,,19,0,0,0,2012,2018,74804.0,
DIVISION ADMINISTRATOR,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,,,,,N,,,,DIVISION ADM,1,DIVISION ADM,,19,0,0,9,2010,2011,68457.0,
EEG TCHNO SUPV EX,Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,EEG TCHNO SUPV,1,,,19,1,1,0,2013,2025,102012.0,98983.0
EVENTS SPECIALIST 4,Staff - Professional & Supervisory,"Development, Communications & Events",claude,P-ROLE,high,,,,,N,,,,EVENTS SPEC,4,EVENTS SPEC 4,,19,0,0,7,2010,2011,51854.0,
FINANCIAL ADMIN OFCR 3,Staff - Professional & Supervisory,"Finance, HR, Purchasing & Business Services",claude,P-ROLE,high,,,,,N,,,,ADMIN SUPV,2,ADMIN SUPV 2,,19,0,0,0,2012,2014,71547.0,
FIRE & SECURITY SYSTEMS TECH,Staff - Support & Operations,"Police, Security & Safety",claude,O-ROLE,medium,,,,,N,,,,FIRE & SECURITY SYSTEMS TECH,1,,,19,0,0,9,2010,2012,57456.0,
FUNDRAISER IV,Staff - Professional & Supervisory,"Development, Communications & Events",claude,P-ROLE,high,,,,,N,,,,FUNDRAISER,4,FUNDRAISER 4,,19,0,0,7,2010,2011,86027.0,
FUNDRAISING ANL 2,Staff - Professional & Supervisory,"Development, Communications & Events",claude,P-ROLE,high,,,,,N,,,,FUNDRAISER,3,FUNDRAISER 3,,19,0,0,0,2012,2015,65522.0,
FUNDRAISING MANAGER 3,Staff - Management,"Development, Communications & Events",claude,M-ROLE,high,,,,,N,,,,FUNDRAISING MGR,3,FUNDRAISING MGR 3,,19,0,0,10,2010,2011,149874.0,
HEALTH INFO MGT MGR 3,Health Care (Med Center & Clinical),Health IT & Informatics,claude,H02,high,Med Center,,,,Y,,,,HEALTH INFO MGT MGR,3,,,19,3,2,0,2019,2025,254733.0,280460.0
HISTO TCHNO SUPV NEX,Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,HISTO TCHNO SUPV,1,,,19,0,0,0,2012,2017,90081.0,
HOSP RAD PHYSICIST SUPV,Health Care (Med Center & Clinical),"Health Administration, Billing & Records",claude,H02,high,,,,,Y,,,,HOSP RAD PHYSICIST SUPV,1,,,19,0,1,0,2012,2021,239856.0,
"HOSP. LAB. TECH. III, P.D.",Health Care (Med Center & Clinical),Hospital Support & Patient Services,claude,H02,high,,,,,Y,,,,HOSP LAB TCHN,3,HOSP LAB TCHN 3 PD,,19,0,0,7,2010,2011,31075.0,
INSP PLANNER EST NEX,Staff - Professional & Supervisory,"Facilities, Trades, Grounds & Logistics",claude,P-ROLE,high,,,,,N,,,,INSP PLNR EST,1,INSP PLNR EST NEX,,19,0,0,0,2012,2015,68710.0,
INTELLECTUAL PROPERTY MGR 1,Staff - Management,"Administration, Analysis & Clerical",claude,M-ROLE,high,,,,,N,,,,IP MGR,1,IP MGR 1,,19,0,0,0,2013,2017,122275.0,
IRRIGATION SPECIALIST,Staff - Professional & Supervisory,"Facilities, Trades, Grounds & Logistics",claude,P-ROLE,high,,,,,N,,,,IRRIGATION SPEC,1,IRRIGATION SPEC,,19,0,0,10,2010,2011,40654.0,
LEOP/LWR TUTUR I,Staff - Support & Operations,Student Services,claude,O-ROLE,medium,,,,,N,,,,LEOP/LWR TUTUR,1,,,19,0,0,0,2018,2019,707.0,
"MAINTENANCE_(B), LEAD",Staff - Support & Operations,"Facilities, Trades, Grounds & Logistics",claude,O-ROLE,medium,,,,,N,,,,MAINT B,3,MAINT B LD,,19,0,0,9,2010,2011,75891.0,
MARINE MECHN PRN,Staff - Support & Operations,Research Support (staff),claude,O-ROLE,high,,,,,N,,,,MARINE MECHN,3,,,19,4,1,0,2012,2025,95009.0,134298.0
MEETING ROOM CAPTAIN II,Staff - Professional & Supervisory,General / Unclassified staff,claude,P-SUPV,low,,,,,N,,,,MEETING ROOM CAPTAIN,2,MEETING ROOM CAPTAIN 2,,19,0,0,10,2010,2011,23820.0,
