from_title,to_title,relation,confidence,n_moves,share_of_moves,years,from_last_year,to_first_year,from_family,from_level,to_family,to_level,source
"ELECTRICIAN, LEAD",ELECTRN LD,rename,high,11,0.786,2012,2011,2012,ELECTRICIAN,3,ELECTRN,3,claude
EMPLOYMENT REPR 1,EMPLOYMENT REPR 2,promotion,high,11,0.5,2019|2020|2021|2022|2024,2025,2012,EMPLOYMENT REPR,1,EMPLOYMENT REPR,2,claude
EXEC ADVISOR 3,EXEC ADVISOR 4,promotion,high,11,0.478,2019|2020|2021|2022|2024|2025,2025,2012,EXEC ADVISOR,3,EXEC ADVISOR,4,claude
FAC MGT SPEC 4,FAC MGR 1,other,low,11,0.149,2018|2019|2021|2022|2023|2024,2025,2012,FAC MGT SPEC,4,FAC MGR,1,claude
FACILITIES PROJECT MGT SPEC 5,FAC PROJECT MGT SPEC 5,rename,high,11,1.0,2012,2011,2012,FACILITIES PROJECT MGT SPEC,5,FAC PROJECT MGT SPEC,5,claude
FINANCIAL ANL 2,FINANCIAL ANL 3 CX,promotion,medium,11,0.02,2025,2025,2025,FINANCIAL ANL,2,FINANCIAL ANL,3,claude
FINANCIAL ANL 5,FINANCIAL ANL MGR 2,other,low,11,0.289,2015|2017|2018|2019|2021|2022|2023|2024,2025,2012,FINANCIAL ANL,5,FINANCIAL ANL MGR,2,claude
FINANCIAL SVC ANL 2 CX,FINANCIAL SVC ANL 3 CX,promotion,high,11,0.314,2025,2025,2025,FINANCIAL SVC ANL,2,FINANCIAL SVC ANL,3,claude
FIRE SPECIALIST II - 56 HRS,FIRE SPEC 2 56 HRS,rename,high,11,1.0,2012,2011,2012,FIRE SPECIALIST II - 56 HRS,1,FIRE SPEC 2 56 HRS,1,claude
"FOOD SERVICE WKR, SR, PER DIEM",FOOD SVC WORKER SR PD,rename,high,11,0.846,2012,2011,2012,"FOOD SERVICE WKR, SR, PER DIEM",1,FOOD SVC WORKER,2,claude
"FOOD SERVICE WORKER, LEAD, MC",MED CTR FOOD SVC WORKER LD,rename,high,11,0.846,2012,2011,2012,FOOD SERVICE WORKER,3,MED CTR FOOD SVC WORKER,3,claude
FOOD SVC MECH AST,FOOD SVC MECH,promotion,high,11,0.917,2013|2014|2016|2017|2019|2020|2022|2025,2025,2012,FOOD SVC MECH,0,FOOD SVC MECH,1,claude
FOOD SVC WORKER PRN,FOOD SVC SUPV 1,other,low,11,0.244,2017|2018|2019|2022|2023|2025,2025,2012,FOOD SVC WORKER,3,FOOD SVC SUPV,1,claude
FUNDRAISER 1 NEX,FUNDRAISER 2 NEX,promotion,high,11,0.314,2015|2016|2020|2021|2022|2023|2025,2025,2012,FUNDRAISER,1,FUNDRAISER,2,claude
FUNDRAISER 3 GF,FUNDRAISER 4,promotion,high,11,0.846,2017|2018|2019|2020|2021|2022|2025,2025,2010,FUNDRAISER,3,FUNDRAISER,4,claude
FUNDRAISER 4 (PSS),FUNDRAISER 4,other,low,11,0.524,2016|2017|2018,2018,2010,FUNDRAISER 4 (PSS),1,FUNDRAISER,4,claude
HEALTH TCHN 3 SUPV,CARE HOSP SUPV 1,rename,high,11,0.846,2017|2018,2017,2017,HEALTH TCHN SUPV,3,CARE HOSP SUPV,1,claude
HOSP UNIT SVC CRD PD,HOSP UNIT SVC CRD 2,promotion,medium,11,0.084,2013|2014|2015|2017|2021|2022|2024|2025,2025,2012,HOSP UNIT SVC CRD,1,HOSP UNIT SVC CRD,2,claude
HR ANL 2,HR GENERALIST 2,other,low,11,0.224,2016|2017|2021,2020,2010,HR ANL,2,HR GENERALIST,2,claude
INSP PLANNER EST EX,INSP PLNR EST EX,rename,high,11,0.733,2016,2015,2016,INSP PLANNER EST,1,INSP PLNR EST,1,claude
JR SPECIALIST,ASSOC SPECIALIST,promotion,medium,11,0.008,2014|2015|2016|2020|2022|2024|2025,2025,2012,SPECIALIST,0,SPECIALIST,2,claude
K TO 14 ACAD PREP SPEC 1,K TO 14 ACAD PREP SPEC 2,promotion,high,11,0.579,2022|2023|2024|2025,2025,2021,K TO 14 ACAD PREP SPEC,1,K TO 14 ACAD PREP SPEC,2,claude
"LABORER, LEAD",LABORER LD,rename,high,11,1.0,2012,2011,2012,LABORER,3,LABORER,3,claude
LECT PSOE-AY-B/E/E,ASSOC PROF OF TEACH-AY-B/E/E,promotion,medium,11,0.116,2024,2023,2024,PROF OF TEACH-AY-B/E/E,1,PROF OF TEACH-AY-B/E/E,2,claude
LIBRARY SUPERVISOR 2,LIBRARY SUPV 2,rename,high,11,0.846,2012,2011,2012,LIBRARY SUPERVISOR,2,LIBRARY SUPV,2,claude
LRNG SKLS CNSLR PRN,K TO 12 EDUCATOR 3,other,low,11,0.229,2017,2020,2013,LRNG SKLS CNSLR,3,K TO 12 EDUCATOR,3,claude
LRNG SKLS CNSLR SR,LRNG SKILLS CNSLR SR NEX,other,low,11,0.611,2014,2018,2012,LRNG SKLS CNSLR,2,LRNG SKILLS CNSLR,2,claude
LVN SUPV 1,VOC NURSE SR,other,low,11,0.423,2022|2023|2024|2025,2025,2012,LVN SUPV,1,VOC NURSE,2,claude
MARKETING SPECIALIST 2,MARKETING SPEC 2,rename,high,11,0.786,2012,2011,2012,MARKETING SPECIALIST,2,MARKETING SPEC,2,claude
"MECHANIC, FACILITIES, LEAD",FAC MECH LD,rename,high,11,0.917,2012,2011,2012,"MECHANIC, FACILITIES",3,FAC MECH,3,claude
MED OFC SVC CRD 3,MED OFC SVC CRD 4,promotion,medium,11,0.037,2016|2021|2022|2023|2024,2025,2012,MED OFC SVC CRD,3,MED OFC SVC CRD,4,claude
MEDIA COMM SPEC 2,COMM SPEC 3,other,low,11,0.306,2019|2021|2022|2024|2025,2025,2012,MEDIA COMM SPEC,2,COMM SPEC,3,claude
MEDIA COMMUNICATIONS SPEC 2,MEDIA COMM SPEC 2,rename,high,11,0.846,2012,2011,2012,MEDIA COMMUNICATIONS SPEC,2,MEDIA COMM SPEC,2,claude
MEDICAL INTERPRETER PER DIEM,MED INTERPRETER PD,rename,high,11,0.733,2012,2011,2012,MEDICAL INTERPRETER PER DIEM,1,MED INTERPRETER,1,claude
MUSICIAN PRN,MUSICIAN 3,rename,medium,11,0.458,2017|2021|2022|2023,2022,2010,MUSICIAN,3,MUSICIAN,3,claude
NON-SENATE ACAD EMERITUS(WOS),RECALL NON-FACULTY ACAD,other,low,11,0.407,2013|2014|2015,2025,2013,NON-SENATE ACAD EMERITUS(WOS),1,RECALL NON-FACULTY ACAD,1,claude
NURSE PRACT 3,NURSE PRACT 2,other,low,11,0.212,2017|2019|2024,2025,2016,NURSE PRACT,3,NURSE PRACT,2,claude
NURSE PRACTITIONER I,NURSE PRACTITIONER II,promotion,high,11,0.314,2011,2011,2010,NURSE PRACTITIONER,1,NURSE PRACTITIONER,2,claude
NURSE SVC MGR 2,NURSE SVC MGR 3,promotion,high,11,0.204,2019|2022|2023|2024|2025,2025,2016,NURSE SVC MGR,2,NURSE SVC MGR,3,claude
"NURSE,ADMINISTRATIVE III-SUPVR",ADMIN NURSE SUPV 3,rename,high,11,0.846,2012,2011,2012,"NURSE,ADMINISTRATIVE-SUPVR",3,ADMIN NURSE SUPV,3,claude
OCCUPATIONAL THER 2 NEX,OCCUPATIONAL THER 3 EX,promotion,medium,11,0.19,2013|2017|2021|2022|2023|2024|2025,2025,2012,OCCUPATIONAL THER,2,OCCUPATIONAL THER,3,claude
OCCUPATIONAL THER 3,OCCUPATIONAL THER 3 NEX,variant,high,11,1.0,2013|2014,2013,2013,OCCUPATIONAL THER,3,OCCUPATIONAL THER,3,claude
OPERATING ROOM EQUIP SPEC 2,OPS ROOM EQUIP SPEC 2,rename,high,11,0.846,2016,2015,2016,OPERATING ROOM EQUIP SPEC,2,OPS ROOM EQUIP SPEC,2,claude
ORGANIZATIONAL CNSLT 2,ORGANIZATIONAL CNSLT 3,promotion,high,11,0.786,2016|2017|2019|2021|2022|2023,2025,2012,ORGANIZATIONAL CNSLT,2,ORGANIZATIONAL CNSLT,3,claude
PAINTER,PAINTER WORKER LD,other,low,11,0.204,2012|2015|2017|2018|2022|2023,2025,2012,PAINTER,1,PAINTER WORKER,3,claude
PARKING REPR SR,PARKING REPR LD,promotion,medium,11,0.177,2014|2015|2017|2018|2019|2023|2024|2025,2025,2012,PARKING REPR,2,PARKING REPR,3,claude
"PARKING SUPV, SR",PARKING SUPV SR,rename,high,11,0.917,2012,2011,2012,PARKING SUPV,2,PARKING SUPV,2,claude
PARKING SUPVR,PARKING SUPV,rename,high,11,0.917,2012,2011,2012,PARKING SUPVR,1,PARKING SUPV,1,claude
PAT CARE TCHN PD,PAT CARE TCHN,variant,high,11,0.688,2017|2019|2021|2022,2025,2016,PAT CARE TCHN,1,PAT CARE TCHN,1,claude
PAT ESCORT,PAT TRANSPORT TCHN 2,other,low,11,0.103,2024,2025,2016,PAT ESCORT,1,PAT TRANSPORT TCHN,2,claude
PATIENT BILLER 2,PATIENT BILLER 3,promotion,medium,11,0.162,2014|2015,2015,2012,PATIENT BILLER,2,PATIENT BILLER,3,claude
PATIENT RCDS ABSTRACTOR 2,PATIENT RCDS ABSTRACTOR 3,promotion,medium,11,0.18,2013|2014|2015,2015,2012,PATIENT RCDS ABSTRACTOR,2,PATIENT RCDS ABSTRACTOR,3,claude
PGY I PHARMACY RESID/NON REP,PGY2 SPEC POST PHARMD TRAINEE,other,low,11,0.208,2022,2024,2021,PGY I PHARMACY RESID,1,PGY2 SPEC POST PHARMD TRAINEE,1,claude
PHARMACIST SR MGR,PHARMACY MGR 1,rename,high,11,0.786,2017|2018|2019|2020,2019,2012,PHARMACIST SR MGR,1,PHARMACY MGR,1,claude
PHLEBOTOMIST CERT 1 PD,CERT PHLEBOTOMY TCHN 2,other,low,11,0.151,2022,2021,2022,PHLEBOTOMIST CERT,1,CERT PHLEBOTOMY TCHN,2,claude
PHYS PLT LABORER GARDENER B,PHYS PLT LABORER GARDENER LD,other,low,11,0.5,2015|2017|2018|2021|2023,2025,2012,PHYS PLT LABORER GARDENER B,1,PHYS PLT LABORER GARDENER,3,claude
PLNG SPEC 4,PLNG SPEC 5,promotion,high,11,0.289,2019|2021|2022|2023|2024|2025,2025,2016,PLNG SPEC,4,PLNG SPEC,5,claude
PLUMBER PIPEFITTER WORKER LD,PLUMBER PIPEFITTER,other,low,11,0.846,2019,2025,2012,PLUMBER PIPEFITTER WORKER,3,PLUMBER PIPEFITTER,1,claude
PRG REPR SUPV,PUBL EDUC SUPV 1,other,low,11,0.458,2021,2023,2016,PRG REPR SUPV,1,PUBL EDUC SUPV,1,claude
PROF OF CLIN-FY,PROF OF CLIN-HCOMP,other,low,11,0.268,2013|2014|2015|2018|2019|2022|2023,2025,2012,PROF OF CLIN-FY,3,PROF OF CLIN-HCOMP,3,claude
PROFESSOR IN RESIDENCE - FY,PROF IN RES-FY,rename,high,11,0.786,2012,2011,2012,PROFESSOR IN RESIDENCE - FY,3,PROF IN RES-FY,3,claude
PROGR ANL 2 SUPV,PROGR ANL 2,other,low,11,0.244,2013|2014|2015|2017|2020,2023,2012,PROGR ANL SUPV,2,PROGR ANL,2,claude
PROGR ANL 4 SUPV,PROGR ANL 5 SUPV,promotion,medium,11,0.04,2013|2014|2015|2016|2017|2018|2020,2023,2012,PROGR ANL SUPV,4,PROGR ANL SUPV,5,claude
PROGRAMMER IV,PROGRAMMER V,promotion,medium,11,0.074,2011,2011,2010,PROGRAMMER,4,PROGRAMMER,5,claude
PROJECT POLICY ANL 4 GF,PROJECT POLICY ANL 4 RP GF,variant,high,11,0.289,2025,2025,2025,PROJECT POLICY ANL,4,PROJECT POLICY ANL,4,claude
PROJECT POLICY ANL SUPV 2,PROJECT POLICY ANL MGR 1,other,low,11,0.297,2020|2021|2022|2023|2024|2025,2025,2012,PROJECT POLICY ANL SUPV,2,PROJECT POLICY ANL MGR,1,claude
PSYCHOLOGIST 3,BEH HEALTH PSYCHTRC PROFL 4 HX,other,low,11,0.22,2024|2025,2025,2023,PSYCHOLOGIST,3,BEH HEALTH PSYCHTRC PROFL,4,claude
PUBL EVENTS MGR,SCENE TCHN SR,other,low,11,0.143,2013|2016|2017,2020,2012,PUBL EVENTS MGR,1,SCENE TCHN,2,claude
"PUBLIC EVENTS MANAGER, ASST",PUBL EVENTS MGR AST,rename,high,11,0.733,2012,2011,2012,PUBLIC EVENTS MANAGER,0,PUBL EVENTS MGR,0,claude
PUBLICATIONS MANAGER,PUBLICATIONS MGR,rename,high,11,0.786,2012,2011,2012,PUBLICATIONS MANAGER,1,PUBLICATIONS MGR,1,claude
"PUBLICATIONS MANAGER, SR",PUBLICATIONS MGR SR,rename,high,11,0.917,2012,2011,2012,PUBLICATIONS MANAGER,2,PUBLICATIONS MGR,2,claude
RECREATION PRG LEADER 2,RECR PRG LEADER 2 BYA,rename,high,11,0.917,2016,2015,2016,RECREATION PRG LEADER,2,RECR PRG LEADER,2,claude
RESEARCH____ - ACADEMIC YEAR,PROFESSOR - ACADEMIC YEAR,other,low,11,0.314,2011,2011,2010,RESEARCH____ - ACADEMIC YEAR,3,PROFESSOR - ACADEMIC YEAR,3,claude
RESP THER PD,REG RESP THER 1,other,low,11,0.611,2013|2015|2016|2017,2025,2012,RESP THER,3,REG RESP THER,1,claude
REVENUE CYCLE HC SUPV 1,REVENUE CYCLE HC SUPV 2,promotion,high,11,0.786,2019|2021|2023|2024,2025,2017,REVENUE CYCLE HC SUPV,1,REVENUE CYCLE HC SUPV,2,claude
RSCH ADM 1,RSCH ADM 3,promotion,medium,11,0.147,2019|2021|2022|2023,2023,2012,RSCH ADM,1,RSCH ADM,3,claude
"SCIENTIST,CLIN LAB,SUPERVISING",CLIN LAB SCI SPEC SUPV SR EX,other,low,11,0.153,2012,2011,2012,"SCIENTIST,CLIN LAB,SUPERVISING",1,CLIN LAB SCI SPEC SUPV,2,claude
"SECRETARY, EXECUTIVE TT OP",EXEC SECR,rename,high,11,0.786,2012,2011,2012,"SECRETARY, EXECUTIVE TT",1,EXEC SECR,1,claude
SOCIAL WORKER CLIN SUPERVISING,CLIN SOCIAL WORKER SUPV,rename,high,11,0.846,2012,2011,2012,SOCIAL WORKER CLIN SUPERVISING,1,CLIN SOCIAL WORKER SUPV,1,claude
SPEECH PATHOLOGIST EX,SPEECH PATHOLOGIST SR EX,promotion,high,11,0.5,2014|2016|2020|2021|2022|2024,2025,2014,SPEECH PATHOLOGIST,1,SPEECH PATHOLOGIST,2,claude
SPEECH PATHOLOGIST NEX,SPEECH PATHOLOGIST SR EX,promotion,high,11,0.5,2014|2015|2021|2024|2025,2025,2014,SPEECH PATHOLOGIST,1,SPEECH PATHOLOGIST,2,claude
"SPEECH PATHOLOGIST, SR, P.D.",SPEECH PATHOLOGIST SR PD,rename,high,11,0.917,2012,2011,2012,"SPEECH PATHOLOGIST, SR, P.D.",1,SPEECH PATHOLOGIST,2,claude
"SPEECH, PATHOLOGIST, PER DIEM",SPEECH PATHOLOGIST PD,rename,high,11,0.786,2012,2011,2012,"SPEECH, PATHOLOGIST, PER DIEM",1,SPEECH PATHOLOGIST,1,claude
SR DEV ENGR SUPERVISOR,DEV ENGR SR SUPV,rename,high,11,0.786,2012,2011,2012,SR DEV ENGR SUPERVISOR,1,DEV ENGR SR SUPV,1,claude
SRA 2 SUPV,SRA 3 SUPV,promotion,high,11,0.239,2013|2014|2015|2016|2017,2023,2012,SRA SUPV,2,SRA SUPV,3,claude
SRA III - SUPERVISOR,SRA IV - SUPERVISOR,promotion,medium,11,0.065,2011,2011,2010,SRA - SUPERVISOR,3,SRA - SUPERVISOR,4,claude
STDT ACAD SPEC 3,STDT ACAD SPEC 4,promotion,medium,11,0.092,2015|2016|2019|2022|2023|2024|2025,2025,2012,STDT ACAD SPEC,3,STDT ACAD SPEC,4,claude
STDT AFFAIRS OFCR 2 SUPV,STDT SVC ADVISOR 3,other,low,11,0.175,2017|2018,2021,2012,STDT AFFAIRS OFCR SUPV,2,STDT SVC ADVISOR,3,claude
STDT AFFAIRS OFCR 4,STDT AFFAIRS OFCR 5,promotion,medium,11,0.043,2014|2015|2016|2017,2023,2012,STDT AFFAIRS OFCR,4,STDT AFFAIRS OFCR,5,claude
STDT AFFAIRS OFCR AST,STDT SVC ADVISOR 1,other,low,11,0.2,2017,2018,2012,STDT AFFAIRS OFCR,0,STDT SVC ADVISOR,1,claude
STIPEND-OTHER POST-MD TRAINEE,STIPEND-OTH POST-MD TRAIN,rename,high,11,0.611,2012,2011,2012,STIPEND-OTHER POST-MD TRAINEE,1,STIPEND-OTH POST-MD TRAIN,1,claude
STUDENT LIFE & DEVT SUPR 1,STDT LIFE DEVT SUPV 1,rename,high,11,0.846,2012,2011,2012,STUDENT LIFE & DEVT SUPR,1,STDT LIFE DEVT SUPV,1,claude
SUPV TEACHER ED-AY,LECT-AY,other,low,11,0.145,2014|2015|2019|2021|2022|2024,2025,2012,SUPV TEACHER ED-AY,1,LECT-AY,1,claude
SYS ADM 2 TX,SYS ADM 3 TX,promotion,high,11,0.786,2024|2025,2025,2023,SYS ADM,2,SYS ADM,3,claude
SYS ADMSTN SUPV 2,INFO SYS MGR 1,other,low,11,0.379,2019|2020|2022|2023|2024|2025,2025,2012,SYS ADMSTN SUPV,2,INFO SYS MGR,1,claude
SYS OPR,CTRL UTILITY PLT OPR,other,low,11,0.355,2015|2017|2020|2023|2024|2025,2025,2012,SYS OPR,1,CTRL UTILITY PLT OPR,1,claude
TCHL PROJECT MGT PROFL 4,TCHL PROJECT MGR 1,other,low,11,0.117,2013|2015|2017|2022|2023|2024,2025,2012,TCHL PROJECT MGT PROFL,4,TCHL PROJECT MGR,1,claude
"TECHNICIAN, AUTOMOTIVE ASSIST",AUTO TCHN AST,rename,high,11,0.846,2012,2011,2012,"TECHNICIAN, AUTOMOTIVE ASSIST",1,AUTO TCHN,0,claude
"TECHNICIAN, DEVELOPMENT, II",DEV TCHN 2,rename,high,11,0.733,2012,2011,2012,"TECHNICIAN, DEVELOPMENT",2,DEV TCHN,2,claude
"TECHNOLOGIST, U/S, PRIN-SUPVR",ULTRASOUND TCHNO PRN SUPV,rename,high,11,0.917,2012,2011,2012,"TECHNOLOGIST, U/S, PRIN-SUPVR",1,ULTRASOUND TCHNO PRN SUPV,1,claude
TELEVISION TCHN,TELEVISION TCHN SR,promotion,high,11,0.55,2015|2017|2018|2019|2022|2025,2025,2012,TELEVISION TCHN,1,TELEVISION TCHN,2,claude
"THERAPIST, OCCUPA,PER DIEM, II",OCCUPATIONAL THER 2 PD,rename,high,11,0.917,2012,2011,2012,"THERAPIST, OCCUPA,PER DIEM",2,OCCUPATIONAL THER,2,claude
USER EXPERIENCE DESIGNER 4,USER EXP DESIGNER 4,rename,high,11,0.786,2020,2019,2020,USER EXPERIENCE DESIGNER,4,USER EXP DESIGNER,4,claude
VST ASST PROFESSOR-ACAD YR-1/9,LECTURER - ACADEMIC YEAR,other,low,11,0.102,2011,2017,2010,VST PROFESSOR-ACAD YR-1/9,1,LECTURER - ACADEMIC YEAR,1,claude
VSTG AST PRO-AY-1/9-B/ECON/ENG,VIS ASST PROF,other,low,11,0.393,2014|2015,2016,2012,VSTG AST PRO-AY-1/9-B/ECON/ENG,1,VIS PROF,1,claude
"-ASSIST. II, HOSP., P.D.",HOSP BLANK AST 2,other,low,10,0.115,2012,2011,2012,"-ASSIST. II, HOSP., P.D.",1,HOSP BLANK AST,2,claude
ACAD HR ANL 4,ACAD HR SUPV 2,other,low,10,0.149,2016|2021|2022|2023|2024|2025,2025,2012,ACAD HR ANL,4,ACAD HR SUPV,2,claude
ACCOUNTANT 4,GEN ACCOUNTANT 3,other,low,10,0.114,2016|2017|2021,2023,2014,ACCOUNTANT,4,GEN ACCOUNTANT,3,claude
ADMIN NURSE 3,ADMIN NURSE 4,promotion,medium,10,0.075,2013|2014|2015|2016|2018,2024,2012,ADMIN NURSE,3,ADMIN NURSE,4,claude
ADMIN SPEC 1,BLANK AST 3,other,low,10,0.149,2014|2015|2016|2017|2018,2018,2012,ADMIN SPEC,1,BLANK AST,3,claude
ADMIN SPEC 1,EXEC AST 3,other,low,10,0.149,2014|2015,2018,2012,ADMIN SPEC,1,EXEC AST,3,claude
ADMISSIONS EVALUATOR 3,ADMISSIONS RECRMT SPEC 3,other,low,10,0.227,2013|2015|2017|2018|2020|2023|2024,2025,2012,ADMISSIONS EVALUATOR,3,ADMISSIONS RECRMT SPEC,3,claude
ADMISSIONS RECRMT SPEC 4,ADMISSIONS RECRMT MGR 1,other,low,10,0.109,2016|2019|2020|2023|2025,2025,2012,ADMISSIONS RECRMT SPEC,4,ADMISSIONS RECRMT MGR,1,claude
ADV OFCR 3,ADV OFCR 4,promotion,medium,10,0.139,2017|2019|2020,2023,2016,ADV OFCR,3,ADV OFCR,4,claude
ANESTHETIST NURSE SR,ANESTHETIST NURSE SR NEX,variant,high,10,0.312,2013,2013,2012,ANESTHETIST NURSE,2,ANESTHETIST NURSE,2,claude
ANL 3 SUPV,ANL 5 SUPV,promotion,medium,10,0.04,2013|2014|2015|2016|2017,2019,2012,ANL SUPV,3,ANL SUPV,5,claude
"ARCHITECT, ASSOC",ARCHITECTURAL ASC EX,rename,high,10,1.0,2012,2011,2012,"ARCHITECT, ASSOC",1,ARCHITECTURAL ASC,1,claude
"ASSISTANT, MEDICAL, I","ASSISTANT, MEDICAL, II",promotion,medium,10,0.085,2011,2011,2010,"ASSISTANT, MEDICAL",1,"ASSISTANT, MEDICAL",2,claude
ASSOC ----- IN THE A.E.S.,ASSOC AGRON AES,rename,high,10,0.769,2012,2011,2012,ASSOC ----- IN THE A.E.S.,1,AGRON AES,2,claude
ASSOC ADJ PROF-AY,ASSOC RES-AY-1/9,other,low,10,0.115,2013|2018,2025,2012,ADJ PROF-AY,2,RES-AY-1/9,2,claude
ASSOC ADJUNCT PROFESSOR - FY,ASSOC ADJ PROF-FY,rename,high,10,0.556,2012,2011,2012,ADJUNCT PROFESSOR - FY,2,ADJ PROF-FY,2,claude
ASSOC SPECIALIST,SPECIALIST NEX,promotion,medium,10,0.013,2016|2017|2018|2021|2022,2025,2016,SPECIALIST,2,SPECIALIST,3,claude
ASSOC SPECIALIST NEX,SPECIALIST NEX,promotion,medium,10,0.147,2017|2018|2020|2021|2022|2023|2024|2025,2025,2016,SPECIALIST,2,SPECIALIST,3,claude
ASSOCIATE DENTIST,DENTIST ASC,rename,high,10,0.909,2012,2011,2012,ASSOCIATE DENTIST,1,DENTIST ASC,1,claude
ASST LIBRARIAN-TEMP STATUS,ASST LIBRARIAN-POTNTL CAREER,other,low,10,0.323,2011|2013|2015|2016|2017|2019|2020|2021|2024|2025,2025,2010,LIBRARIAN-TEMP STATUS,1,LIBRARIAN-POTNTL CAREER,1,claude
ASST PHYSICAL PLANT ADMIN,PHYS PLT ADM AST,rename,high,10,0.909,2012,2011,2012,ASST PHYSICAL PLANT ADMIN,1,PHYS PLT ADM,0,claude
ASST PROJ SCIENTIST-FY,ASSOC PROJ SCIENTIST-FY NEX,promotion,medium,10,0.009,2016|2020|2021|2025,2025,2016,PROJ SCIENTIST-FY,1,PROJ SCIENTIST-FY,2,claude
ASST SPECIALIST,SPECIALIST,promotion,medium,10,0.015,2013|2014|2016|2018|2019|2021|2024,2025,2010,SPECIALIST,1,SPECIALIST,3,claude
ASST TEACHER-UNEX,BLANK AST 2,other,low,10,0.13,2014|2021,2025,2012,ASST TEACHER-UNEX,1,BLANK AST,2,claude
"ASST, NURSING CERT LAK",HOSP AST PD,rename,high,10,0.714,2025,2024,2012,"ASST, NURSING CERT",1,HOSP,0,claude
ATHLETICS PROFESSIONAL 2,ATH PROFL 3,rename,medium,10,0.333,2012,2011,2012,ATHLETICS PROFESSIONAL,2,ATH PROFL,3,claude
AUDIT PROFL 3,AUDIT PROFL 4,promotion,high,10,0.476,2017|2018|2022|2023|2024|2025,2025,2014,AUDIT PROFL,3,AUDIT PROFL,4,claude
AUDITOR 3,AUDIT PROFL 3,other,low,10,0.4,2014|2016|2017|2020,2023,2014,AUDITOR,3,AUDIT PROFL,3,claude
AUTO EQUIP OPR,AUTO EQUIP OPR PRN,promotion,high,10,0.333,2014|2018|2019|2023|2024|2025,2025,2012,AUTO EQUIP OPR,1,AUTO EQUIP OPR,3,claude
AV IT ENGR 3,AV IT ENGR 3 TX,variant,high,10,0.435,2025,2025,2025,AV IT ENGR,3,AV IT ENGR,3,claude
AV IT SPEC 4,EDUC TCHL SPEC 4,rename,high,10,0.833,2016,2015,2016,AV IT SPEC,4,EDUC TCHL SPEC,4,claude
BAKER AST,BAKER,promotion,high,10,0.714,2014|2016|2018|2023|2024,2025,2010,BAKER,0,BAKER,1,claude
BIOINFORMATICS PROGR 1,BIOINFORMATICS PROGR 2,promotion,high,10,0.588,2017|2018|2019|2022|2024|2025,2025,2015,BIOINFORMATICS PROGR,1,BIOINFORMATICS PROGR,2,claude
BLANK AST 1 PD,BLANK AST 2 PD,promotion,medium,10,0.159,2013|2014|2015|2017|2019|2025,2025,2012,BLANK AST,1,BLANK AST,2,claude
BUDGET ANL,RSCH ADM 3,other,low,10,0.179,2017,2020,2012,BUDGET ANL,1,RSCH ADM,3,claude
BUS SYS ANL SUPV 2,BUS SYS ANL MGR 1,other,low,10,0.222,2020|2021|2022|2023|2024|2025,2025,2012,BUS SYS ANL SUPV,2,BUS SYS ANL MGR,1,claude
BUSINESS/TECH SUPPORT SUPR 2,BUS TCHL SUPP SUPV 2,rename,high,10,1.0,2012,2011,2012,BUSINESS/TECH SUPPORT SUPR,2,BUS TCHL SUPP SUPV,2,claude
BUYER 2,BUYER 3,promotion,high,10,0.204,2014|2015|2016|2017,2021,2012,BUYER,2,BUYER,3,claude
BUYER 3,BUYER 4,promotion,medium,10,0.149,2014|2015|2016|2017|2020|2021,2021,2012,BUYER,3,BUYER,4,claude
BUYER 4,STRAT SOURCING PROFL 3,other,low,10,0.161,2016|2017|2021,2021,2015,BUYER,4,STRAT SOURCING PROFL,3,claude
BUYER V,BUYER 5,rename,high,10,0.833,2012,2011,2010,BUYER,5,BUYER,5,claude
CAMP CNSLR,COACH AST 2,other,low,10,0.128,2017|2018,2018,2012,CAMP CNSLR,1,COACH AST,2,claude
CARDIOVASCULAR TCHN PD,CARDIOVASCULAR TCHN,variant,high,10,1.0,2014|2015|2016|2017|2021|2022|2025,2025,2012,CARDIOVASCULAR TCHN,1,CARDIOVASCULAR TCHN,1,claude
CASE MGR NEX,CLIN NURSE 2,other,low,10,0.208,2013|2015|2017|2019|2022|2023|2025,2025,2012,CASE MGR,1,CLIN NURSE,2,claude
CATH LAB RADLG TCHNO,INTERVENTNL RADLG TCHNO,other,low,10,0.303,2024,2025,2023,CATH LAB RADLG TCHNO,1,INTERVENTNL RADLG TCHNO,1,claude
CERT PHLEBOTOMY TCHN 1 PD,CERT PHLEBOTOMY TCHN 1,variant,high,10,0.294,2023|2024|2025,2025,2022,CERT PHLEBOTOMY TCHN,1,CERT PHLEBOTOMY TCHN,1,claude
CHIEF OF POLICE,POLICE CHF,rename,high,10,1.0,2012,2011,2012,CHIEF OF POLICE,1,POLICE CHF,1,claude
CHIEF RESID PHYS-NON REP,HS CLIN INSTR-HCOMP,other,low,10,0.122,2020|2021,2023,2012,CHIEF RESID PHYS,1,HS CLIN PROF-HCOMP,0,claude
CHILD DEV CTR TEACHER 2,CHILD DEV CTR TEACHER 2 SUPV,other,low,10,0.156,2013|2014|2015|2016|2017,2025,2012,CHILD DEV CTR TEACHER,2,CHILD DEV CTR TEACHER SUPV,2,claude
CHILD LIFE SPEC 1 PD,CHILD LIFE SPEC 1 NEX,variant,high,10,0.37,2014|2016|2017|2018|2022|2023|2024|2025,2025,2012,CHILD LIFE SPEC,1,CHILD LIFE SPEC,1,claude
